"zone","volume_building_dcmix_lr","volume_building_dcmix_mr","volume_building_high","volume_building_irh","volume_building_light","volume_building_sdr_lr","volume_building_sdr_mr","volume_building_sky"
-9999,0,0,0,0,0,0,0,0
0,88713.90625,443850.59375,70656.40625,7182789.5,2677186.25,16759124,5523126,0
1,174659.872070312,817909.099975586,371008.40625,8816875.9375,3549812.28125,27002330.625,11373206.84375,0
2,694897.561035156,1435690.58789062,596397.2578125,11740560.375,6693090.375,40108325,12616786.25,0
3,965016.923828125,8442219.88745117,6975426.13708496,64596116.328125,18313845.65625,113659733.75,61312775.90625,4350
4,782799.6171875,1384610.609375,163164.796875,20802432.8867188,11851591.1328125,57878470.03125,19009310.3000488,0
5,2041388.22851562,41781619.0874023,19945962,111277962.125,19209626.703125,156647454.875,91578993.28125,0
6,934594.140625,4350860.29882812,645539.612426758,28210813.75,12573256.9750061,74153480.7999268,27984101.96875,0
7,373023.822021484,1626232.7734375,324756.4375,15612408.0742188,9065506.7578125,44832216.75,16852488.421875,0
8,399698.112548828,2442864.25,2103016,21241569.5,6579226.5625,46615764.5,13237694.5,0
9,352954.1875,1309887.19042969,405759.900390625,13462878.375,5006274.625,31725719.5,11167509.75,0
10,103549.09765625,318491.703125,120048.1015625,8840308.44921875,3907365.68359375,26746254.265625,8415860.84765625,0
11,17950.298828125,60493.599609375,45580.703125,1997181.72497559,1417787.21313477,9870298.5,3529298.875,0
12,443381.734375,5024451.25,2348127.5625,23944202,6609888.25,44566402,23737975,0
13,144185.220306396,528153.1015625,162367.29296875,4530502.19061279,1643017.1781311,12771143.5251465,4800951.8125,0
14,240922.686523438,1622531.92382812,141524.2890625,12937283.5,4255649.375,25231148,7846761.25,0
15,771518.984375,1965267.95922852,248164.674804688,14827401.125,7598391.625,41113926,15730859.34375,0
16,362126.382202148,2349641.40234375,1358248.92578125,24585029.7109375,6776100.859375,48502055.46875,17474547.203125,0
17,76113.78125,919113.98828125,251716.90625,9727317.0625,3642350.40625,26016248.5,12407697.25,0
18,256757.069610596,461738.375,163253.3046875,10455724.21875,3582603.96868896,25127803.3745117,7901252.53125,0
19,186812.33984375,1111620.296875,575115.4296875,6995604.46875,3106475.84375,21214510.625,8725873.421875,0
20,221490.668701172,1224325.75,449489.5,6094780.75,2968241.359375,19390600.125,6801840.65625,0
21,313239.081054688,2182677.00390625,964746.424804688,21966483.6875,8143293.71875,56613959.5,22287741,0
22,204420.880859375,1995101.25,160146.400390625,12570094.25,5008244.5,26450263.5,6104546.75,0
23,167777.184570312,896066.75,70389.50390625,9571083,3217589.625,25385734,7234117.125,0
24,226871.806396484,1203054.07189941,240738.206542969,15499087.5,9538686.8125,41280538.25,10663620.21875,0
25,482955,807253.125,307265.34375,9799823,4548249,30013020,7671891,0
26,103632.4921875,321713.875,115194.1953125,7503686.5,1913285.625,14879376,6114221,0
27,303994.8125,631090.125,40324.19921875,4863379.99609375,2741895.95019531,18298417.296875,4952310.0078125,0
28,284569.361328125,1013530.0859375,50883.6015625,7395976.9375,2622459.4453125,19212088.125,10618816.4296875,0
29,121285.9140625,1033402.625,84142,7290833,2435433.25,19638338,8881873,0
30,113333.2265625,526828.875,0,1954758.75,1535058,11249967,4630480.5,0
31,137634.25,485654.09375,104777.8046875,3796656,1887337,13746770,5495432,0
32,1690083,14512908.0019531,5012158,16690337.96875,3503782.25,30393350.25,27620112,87987
33,77116.40625,900593.0625,88824.8046875,2452286.5,952260.25,7807041.5,2000156.75,0
34,28532.9013671875,336628.90625,224547.921875,4801695.3046875,1503080.33007812,12248656.328125,4364221.984375,0
35,296700,1084514.25,99408.4921875,5198936.5,2501891.25,17873666,8303342,0
36,178906.359375,768305.125,245016.203125,6300136.70019531,1979541.24951172,14371686.6015625,8222626.29980469,0
37,74580.4033203125,1638015.9375,235844.203125,11326004,2562069.125,20160759.5,8520064.25,0
38,197136.01171875,2108362.53125,766127.5,8853012,2074044.375,16627443.5,10699068.5,0
39,357773.25,566661,101928,4999243.5,2863213,18032226,6759898.5,0
40,148811.2109375,1206311.89453125,729939.638671875,10440664.5,2783951.625,20805476,12250030,0
41,125771.3984375,621975.4375,218370.6875,7198459.140625,2901095.265625,19223703.625,10244936.125,0
42,174788.984375,329145.09375,184244.609375,3737114.5,1172259.125,9052441,3610429.5,0
43,9836.798828125,401776.5625,12185,2832217.5,1360454.875,9300324,4689513.5,0
44,189030.9296875,934464.8515625,110043.208007812,11897297.25,3451448.875,27606726,11303208.5,0
45,204185.296875,1354524.875,81611.1015625,7004131.5,2134880,16129101,7888757.5,0
46,68863.59375,131314.78125,0,1185730.875,1011951.0625,6788096,3039559.5,0
47,359528.481201172,1686510.9765625,123310.6015625,11831051.8125,4482698.375,25939726.75,10289540.5,0
48,140218.90625,692053.75,72297.90625,9703327,1926911,16285895,5591512,0
49,314404.987304688,937084.1796875,60781.00390625,5285109.71875,1678294.125,14315982,4075952.4375,0
50,155539.359375,790008.25,88626.8984375,6043999.19140625,2762994.09765625,18554471.09375,10831085.515625,0
51,12891.900390625,517213.21875,125438.8046875,4305332.296875,1682388.10546875,10652610.9921875,7109139.99609375,0
