"zone";"area_building_hard_lr";"area_building_hard_mr";"area_building_high";"area_building_sky";"area_building_wood_lr";"area_building_wood_mr";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_shinkansen";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_gravel";"area_street_living_street";"area_street_motorway_elevated";"area_street_motorway";"area_street_other_elevated";"area_street_primary";"area_street_secondary";"area_street_tertiary";"area_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;90;181;0;0;0;21;0;0;439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;0
1;2884180668;962961068;19532;493241;2587614423;548668297;38432742;259712248;10889583137;33467630;13716222;3786880;101883249;57172300;1446649;992796;7063117;1038098;24767035;15797492;31749523;82332495;302014071;15879342;221112847;31749523;202300590;225765278;1773127825;25993016
2;1656056;2619828;0;4110;78244;42526;0;98645;6597372;7824;8705;0;151176;0;0;0;151841;32992;1116;107422;10010;199;1436;107552;40496;10010;38337;40796;1162804;3640
3;1915485;1022882;0;0;478210;158656;0;90728;5405228;9194;0;0;28215;7532;0;5771;30826;0;356;17412;18359;23669;14011;17412;140049;18359;53611;43521;1104269;1015
4;934490;190972;0;0;1443020;133431;14910;84755;4084996;2284;0;0;29525;0;0;0;0;0;0;0;3307;0;0;0;1337;3307;334;42324;3933;0
5;307893;426272;0;0;777673;1056588;0;30224;3868983;874;0;0;49546;0;0;0;13565;0;240;0;0;0;0;0;41190;0;0;0;6249;19113
6;273215;109159;0;0;446029;119756;0;38910;1477767;165;0;0;12439;0;0;0;0;0;0;0;0;0;0;0;1102;0;9023;4572;2961;0
7;2109770;309656;0;0;969986;91965;0;128645;5236225;4595;38;0;6212;0;0;0;0;0;0;0;8296;0;14556;0;1594;8296;11725;27346;253521;0
8;1991903;942779;0;0;1349749;437468;0;162988;7072932;871;867;0;56827;0;0;0;0;0;0;0;0;0;3503;0;11341;0;4320;0;39085;0
9;316155;1180649;0;418;370485;906125;0;72905;4175261;36104;32421;31975;18072;0;0;0;0;56105;17059;0;7975;0;0;0;55561;7975;0;1721;180654;27393
10;316177;3704919;125;32808;83672;112327;0;482454;6377021;89318;17650;0;85993;124155;12657;0;281842;0;125533;90894;41707;0;0;91570;25896;41707;66832;28014;447516;0
11;318021;24807;0;0;293010;22372;0;689;1018896;0;0;0;0;0;0;0;0;0;0;2472;274;0;0;2519;63482;274;26886;0;0;0
12;1810943;869610;0;0;760343;248438;0;132082;5571490;13734;0;0;51264;46016;0;0;0;0;3776;0;10792;3880;11676;0;0;10792;10509;6402;479332;437
13;1318261;722498;0;0;1574927;410269;0;123129;6046751;30361;3854;665;68763;70808;0;0;0;0;1402;0;417;0;2896;0;0;417;0;23467;94643;823
