"zone","volume_building_hard_lr","volume_building_hard_mr","volume_building_high","volume_building_sky","volume_building_wood_lr","volume_building_wood_mr"
-9999,0,0,0,0,0,0
0,520.999984741211,2704.70001220703,0,0,0,281.399993896484
1,18922147622.2441,12058920076.5787,1275207,73707303,18053936283.0076,6423758594.97554
2,13476752.5,37090996,0,779633,623115.75,512079.53125
3,14444601,12433014,0,0,3910962.25,1781012.375
4,6368277,2246580.5,0,0,10671744,1471039.75
5,2495946.25,5707243,0,0,6581557,12811970
6,1866619.25,1330786.75,0,0,3254015.5,1391104
7,15757630,3427814.75,0,0,7080712.5,1002714.875
8,15106080,11778854,0,0,10533342,5159765
9,2444414.75,17292216,0,40964,3166436.75,11441972
10,2631983.5,62978640,9000,5124421,685856.125,1483205.5
11,1907212.5,284007.25,0,0,2006040.875,249489.765625
12,13996283,10562558.5,0,0,5826364.4375,2916176.5625
13,10294025,9098620,0,0,12573383,4663295
